DateTimeStamp,actHumidityOutdoor,actTempOutdoor,rainHourly,relativePressure,solarRadiation,uvRadiation,uvRadiationIndex,windDirection,windSpeed
2016.04.07 16:17:57,68.0,11.9,0.0,1004.9,45.83,189.0,1.0,68.0,0.0
2016.04.07 16:18:02,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:07,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:12,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:17,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:22,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:27,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:32,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:37,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:42,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:47,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
2016.04.07 16:18:52,69.0,11.9,0.0,1005.0,44.96,187.0,1.0,69.0,0.0
