date,Burner,Flow Floor Act,Flow Floor Set,Flow Radiator Act,Flow Radiator Set,Hotwater,Mixer Floor,Mixer Radiator
2016.12.06 22:14:19,66.4,0.0,22.0,0.0,0.0,59.2,22.7,0.0
2016.12.06 22:14:20,66.9,0.0,22.0,0.0,0.0,59.5,22.7,0.0
2016.12.06 22:14:21,67.3,0.0,22.0,0.0,0.0,59.8,22.7,0.0
2016.12.06 22:14:22,67.8,0.0,22.0,0.0,0.0,60.0,22.7,0.0
2016.12.06 22:14:23,66.1,0.0,22.0,0.0,0.0,60.3,22.7,0.0
2016.12.06 22:14:24,64.5,0.0,22.0,0.0,0.0,60.5,22.7,0.0
2016.12.06 22:14:25,63.0,0.0,22.0,0.0,0.0,60.6,22.7,0.0
2016.12.06 22:14:26,63.6,0.0,22.0,0.0,0.0,60.7,22.7,0.0
2016.12.06 22:14:27,64.1,0.0,22.0,0.0,0.0,60.8,22.7,0.0
2016.12.06 22:14:28,64.7,0.0,22.0,0.0,0.0,60.9,22.7,0.0
2016.12.06 22:14:30,65.2,0.0,22.0,0.0,0.0,61.0,22.7,0.0
2016.12.06 22:14:31,65.7,0.0,22.0,0.0,0.0,61.2,22.7,0.0
2016.12.06 22:14:32,66.3,0.0,22.0,0.0,0.0,61.4,22.7,0.0
2016.12.06 22:14:33,66.7,0.0,22.0,0.0,0.0,61.6,22.7,0.0
2016.12.06 22:14:34,67.1,0.0,22.0,0.0,0.0,61.7,22.7,0.0
2016.12.06 22:14:35,67.6,0.0,22.0,0.0,0.0,61.9,22.7,0.0
2016.12.06 22:14:36,67.1,0.0,22.0,0.0,0.0,61.4,22.7,0.0
2016.12.06 22:14:37,65.6,0.0,22.0,0.0,0.0,60.1,22.7,0.0
2016.12.06 22:14:38,64.0,0.0,22.0,0.0,0.0,58.7,22.7,0.0
2016.12.06 22:14:39,62.5,0.0,22.0,0.0,0.0,57.4,22.7,0.0
2016.12.06 22:14:40,61.2,0.0,22.0,0.0,0.0,56.2,22.7,0.0
2016.12.06 22:14:41,59.8,0.0,22.0,0.0,0.0,55.0,22.7,0.0
2016.12.06 22:14:42,58.5,0.0,22.0,0.0,0.0,53.9,22.7,0.0
2016.12.06 22:14:43,57.3,0.0,22.0,0.0,0.0,52.9,22.7,0.0
2016.12.06 22:14:44,56.3,0.0,22.0,0.0,0.0,51.9,22.7,0.0
2016.12.06 22:14:45,57.1,0.0,22.0,0.0,0.0,52.0,22.7,0.0
2016.12.06 22:14:46,57.9,0.0,22.0,0.0,0.0,52.2,22.7,0.0
2016.12.06 22:14:48,58.7,0.0,22.0,0.0,0.0,52.5,22.7,0.0
2016.12.06 22:14:49,59.5,0.0,22.0,0.0,0.0,52.7,22.7,0.0
2016.12.06 22:14:50,60.2,0.0,22.0,0.0,0.0,53.0,22.7,0.0
2016.12.06 22:14:51,60.9,0.0,22.0,0.0,0.0,53.2,22.7,0.0
2016.12.06 22:14:52,61.6,0.0,22.0,0.0,0.0,53.5,22.7,0.0
2016.12.06 22:14:53,62.3,0.0,22.0,0.0,0.0,53.8,22.7,0.0
2016.12.06 22:14:54,62.9,0.0,22.0,0.0,0.0,54.2,22.7,0.0
2016.12.06 22:14:55,63.5,0.0,22.0,0.0,0.0,54.4,22.7,0.0
2016.12.06 22:14:56,64.1,0.0,22.0,0.0,0.0,54.8,22.7,0.0
2016.12.06 22:14:57,64.6,0.0,22.0,0.0,0.0,55.1,22.7,0.0
2016.12.06 22:14:58,65.1,0.0,22.0,0.0,0.0,55.5,22.7,0.0
2016.12.06 22:14:59,65.7,0.0,22.0,0.0,0.0,55.8,22.7,0.0
2016.12.06 22:15:00,66.2,0.0,22.0,0.0,0.0,56.1,22.7,0.0
2016.12.06 22:15:01,66.6,0.0,22.0,0.0,0.0,56.5,22.7,0.0
2016.12.06 22:15:03,66.7,0.0,22.0,0.0,0.0,56.9,22.7,0.0
2016.12.06 22:15:04,65.2,0.0,22.0,0.0,0.0,57.1,22.7,0.0
2016.12.06 22:15:05,63.8,0.0,22.0,0.0,0.0,57.4,22.7,0.0
2016.12.06 22:15:06,63.3,0.0,22.0,0.0,0.0,57.6,22.7,0.0
2016.12.06 22:15:07,63.9,0.0,22.0,0.0,0.0,57.8,22.7,0.0
2016.12.06 22:15:08,64.4,0.0,22.0,0.0,0.0,58.0,22.7,0.0
2016.12.06 22:15:09,65.0,0.0,22.0,0.0,0.0,58.3,22.7,0.0
2016.12.06 22:15:10,65.5,0.0,22.0,0.0,0.0,58.5,22.7,0.0
2016.12.06 22:15:11,66.0,0.0,22.0,0.0,0.0,58.8,22.7,0.0
2016.12.06 22:15:12,66.5,0.0,22.0,0.0,0.0,59.0,22.7,0.0
2016.12.06 22:15:13,66.9,0.0,22.0,0.0,0.0,59.3,22.7,0.0
2016.12.06 22:15:14,67.4,0.0,22.0,0.0,0.0,59.6,22.7,0.0
2016.12.06 22:15:15,67.8,0.0,22.0,0.0,0.0,59.8,22.7,0.0
2016.12.06 22:15:16,66.3,0.0,22.0,0.0,0.0,60.1,22.7,0.0
2016.12.06 22:15:17,64.7,0.0,22.0,0.0,0.0,60.3,22.7,0.0
2016.12.06 22:15:18,63.2,0.0,22.0,0.0,0.0,60.4,22.7,0.0
2016.12.06 22:15:19,63.4,0.0,22.0,0.0,0.0,60.5,22.7,0.0
2016.12.06 22:15:20,64.0,0.0,22.0,0.0,0.0,60.6,22.7,0.0
2016.12.06 22:15:21,64.5,0.0,22.0,0.0,0.0,60.7,22.7,0.0
2016.12.06 22:15:23,65.0,0.0,22.0,0.0,0.0,60.9,22.7,0.0
2016.12.06 22:15:24,65.5,0.0,22.0,0.0,0.0,61.0,22.7,0.0
