date,Burner,Flow Floor,Flow Radiator,Hotwater,Mixer Floor,Mixer Radiator
2016.12.01 22:11:13,51.0,0.0,0.0,47.8,0.0,0.0
2016.12.01 22:11:14,50.0,0.0,0.0,47.1,0.0,0.0
2016.12.01 22:11:15,49.1,0.0,0.0,46.2,0.0,0.0
2016.12.01 22:11:16,48.2,0.0,0.0,45.5,0.0,0.0
2016.12.01 22:11:17,47.3,0.0,0.0,44.6,0.0,0.0
2016.12.01 22:11:18,46.4,0.0,0.0,43.8,0.0,0.0
2016.12.01 22:11:19,45.6,0.0,0.0,43.1,0.0,0.0
2016.12.01 22:11:20,44.8,0.0,0.0,42.4,0.0,0.0
2016.12.01 22:11:21,44.0,0.0,0.0,41.7,0.0,0.0
2016.12.01 22:11:22,43.2,0.0,0.0,41.0,0.0,0.0
2016.12.01 22:11:24,42.5,0.0,0.0,40.3,0.0,0.0
2016.12.01 22:11:25,41.8,0.0,0.0,39.7,0.0,0.0
2016.12.01 22:11:26,41.1,0.0,0.0,39.1,0.0,0.0
2016.12.01 22:11:27,40.4,0.0,0.0,38.5,0.0,0.0
2016.12.01 22:11:28,39.8,0.0,0.0,37.9,0.0,0.0
2016.12.01 22:11:29,39.2,0.0,0.0,37.4,0.0,0.0
2016.12.01 22:11:30,38.6,0.0,0.0,36.8,0.0,0.0
2016.12.01 22:11:31,38.0,0.0,0.0,36.3,0.0,0.0
2016.12.01 22:11:32,37.4,0.0,0.0,35.8,0.0,0.0
2016.12.01 22:11:33,37.2,0.0,0.0,35.5,0.0,0.0
2016.12.01 22:11:34,38.0,0.0,0.0,35.5,0.0,0.0
2016.12.01 22:11:35,38.7,0.0,0.0,35.6,0.0,0.0
2016.12.01 22:11:36,39.5,0.0,0.0,35.8,0.0,0.0
2016.12.01 22:11:37,40.2,0.0,0.0,35.9,0.0,0.0
2016.12.01 22:11:38,40.9,0.0,0.0,36.1,0.0,0.0
2016.12.01 22:11:39,41.5,0.0,0.0,36.2,0.0,0.0
2016.12.01 22:11:40,42.1,0.0,0.0,36.4,0.0,0.0
2016.12.01 22:11:41,42.7,0.0,0.0,36.6,0.0,0.0
2016.12.01 22:11:42,43.3,0.0,0.0,36.8,0.0,0.0
2016.12.01 22:11:44,43.9,0.0,0.0,37.1,0.0,0.0
2016.12.01 22:11:45,44.4,0.0,0.0,37.3,0.0,0.0
2016.12.01 22:11:46,45.0,0.0,0.0,37.6,0.0,0.0
2016.12.01 22:11:47,45.5,0.0,0.0,37.8,0.0,0.0
2016.12.01 22:11:48,46.0,0.0,0.0,38.1,0.0,0.0
2016.12.01 22:11:49,46.5,0.0,0.0,38.4,0.0,0.0
2016.12.01 22:11:50,46.9,0.0,0.0,38.7,0.0,0.0
2016.12.01 22:11:51,47.4,0.0,0.0,39.0,0.0,0.0
2016.12.01 22:11:52,47.8,0.0,0.0,39.3,0.0,0.0
2016.12.01 22:11:53,48.2,0.0,0.0,39.6,0.0,0.0
2016.12.01 22:11:54,48.6,0.0,0.0,39.9,0.0,0.0
2016.12.01 22:11:55,49.0,0.0,0.0,40.2,0.0,0.0
2016.12.01 22:11:56,49.4,0.0,0.0,40.5,0.0,0.0
2016.12.01 22:11:57,49.8,0.0,0.0,40.8,0.0,0.0
2016.12.01 22:11:58,50.1,0.0,0.0,41.1,0.0,0.0
2016.12.01 22:11:59,50.5,0.0,0.0,41.5,0.0,0.0
2016.12.01 22:12:00,50.8,0.0,0.0,41.8,0.0,0.0
2016.12.01 22:12:01,51.1,0.0,0.0,42.1,0.0,0.0
2016.12.01 22:12:02,51.4,0.0,0.0,42.4,0.0,0.0
2016.12.01 22:12:03,51.7,0.0,0.0,42.7,0.0,0.0
2016.12.01 22:12:04,52.0,0.0,0.0,43.0,0.0,0.0
2016.12.01 22:12:06,52.3,0.0,0.0,43.3,0.0,0.0
2016.12.01 22:12:07,52.5,0.0,0.0,43.6,0.0,0.0
2016.12.01 22:12:08,52.8,0.0,0.0,44.0,0.0,0.0
2016.12.01 22:12:09,53.1,0.0,0.0,44.3,0.0,0.0
2016.12.01 22:12:10,53.3,0.0,0.0,44.6,0.0,0.0
2016.12.01 22:12:11,53.5,0.0,0.0,44.9,0.0,0.0
2016.12.01 22:12:12,53.8,0.0,0.0,45.2,0.0,0.0
2016.12.01 22:12:13,54.0,0.0,0.0,45.5,0.0,0.0
2016.12.01 22:12:14,54.2,0.0,0.0,45.8,0.0,0.0
2016.12.01 22:12:15,54.4,0.0,0.0,46.1,0.0,0.0
2016.12.01 22:12:16,54.6,0.0,0.0,46.4,0.0,0.0
2016.12.01 22:12:17,54.8,0.0,0.0,46.7,0.0,0.0
2016.12.01 22:12:18,55.0,0.0,0.0,47.0,0.0,0.0
2016.12.01 22:12:19,55.1,0.0,0.0,47.3,0.0,0.0
2016.12.01 22:12:21,55.3,0.0,0.0,47.6,0.0,0.0
2016.12.01 22:12:22,55.5,0.0,0.0,47.8,0.0,0.0
2016.12.01 22:12:23,55.6,0.0,0.0,48.1,0.0,0.0
2016.12.01 22:12:24,55.8,0.0,0.0,48.4,0.0,0.0
2016.12.01 22:12:25,55.9,0.0,0.0,48.6,0.0,0.0
2016.12.01 22:12:26,56.1,0.0,0.0,48.9,0.0,0.0
2016.12.01 22:12:27,56.2,0.0,0.0,49.1,0.0,0.0
2016.12.01 22:12:28,56.3,0.0,0.0,49.4,0.0,0.0
2016.12.01 22:12:29,56.5,0.0,0.0,49.6,0.0,0.0
2016.12.01 22:12:30,56.6,0.0,0.0,49.8,0.0,0.0
2016.12.01 22:12:31,56.7,0.0,0.0,50.1,0.0,0.0
2016.12.01 22:12:32,56.8,0.0,0.0,50.3,0.0,0.0
2016.12.01 22:12:33,56.9,0.0,0.0,50.5,0.0,0.0
2016.12.01 22:12:34,57.0,0.0,0.0,50.8,0.0,0.0
2016.12.01 22:12:35,57.1,0.0,0.0,51.0,0.0,0.0
2016.12.01 22:12:36,57.2,0.0,0.0,51.2,0.0,0.0
2016.12.01 22:12:37,57.3,0.0,0.0,51.4,0.0,0.0
2016.12.01 22:12:38,57.4,0.0,0.0,51.6,0.0,0.0
2016.12.01 22:12:40,57.5,0.0,0.0,51.8,0.0,0.0
2016.12.01 22:12:41,57.6,0.0,0.0,52.0,0.0,0.0
2016.12.01 22:12:42,57.7,0.0,0.0,52.2,0.0,0.0
2016.12.01 22:12:43,57.8,0.0,0.0,52.4,0.0,0.0
2016.12.01 22:12:44,57.8,0.0,0.0,52.6,0.0,0.0
2016.12.01 22:12:45,57.9,0.0,0.0,52.8,0.0,0.0
2016.12.01 22:12:46,58.0,0.0,0.0,52.9,0.0,0.0
2016.12.01 22:12:47,58.1,0.0,0.0,53.1,0.0,0.0
2016.12.01 22:12:48,58.1,0.0,0.0,53.3,0.0,0.0
2016.12.01 22:12:49,58.2,0.0,0.0,53.5,0.0,0.0
2016.12.01 22:12:50,58.2,0.0,0.0,53.6,0.0,0.0
2016.12.01 22:12:51,58.3,0.0,0.0,53.8,0.0,0.0
2016.12.01 22:12:52,58.4,0.0,0.0,53.9,0.0,0.0
2016.12.01 22:12:53,58.4,0.0,0.0,54.1,0.0,0.0
2016.12.01 22:12:54,58.5,0.0,0.0,54.2,0.0,0.0
2016.12.01 22:12:55,58.5,0.0,0.0,54.4,0.0,0.0
2016.12.01 22:12:56,58.6,0.0,0.0,54.5,0.0,0.0
2016.12.01 22:12:57,58.6,0.0,0.0,54.7,0.0,0.0
2016.12.01 22:12:58,58.7,0.0,0.0,54.8,0.0,0.0
2016.12.01 22:12:59,58.7,0.0,0.0,54.9,0.0,0.0
2016.12.01 22:13:01,58.8,0.0,0.0,55.1,0.0,0.0
2016.12.01 22:13:02,58.8,0.0,0.0,55.2,0.0,0.0
2016.12.01 22:13:03,58.8,0.0,0.0,55.3,0.0,0.0
2016.12.01 22:13:04,58.9,0.0,0.0,55.4,0.0,0.0
2016.12.01 22:13:05,58.9,0.0,0.0,55.6,0.0,0.0
2016.12.01 22:13:06,59.0,0.0,0.0,55.7,0.0,0.0
2016.12.01 22:13:07,59.0,0.0,0.0,55.8,0.0,0.0
2016.12.01 22:13:08,59.0,0.0,0.0,55.9,0.0,0.0
2016.12.01 22:13:09,59.1,0.0,0.0,56.0,0.0,0.0
2016.12.01 22:13:10,59.1,0.0,0.0,56.1,0.0,0.0
2016.12.01 22:13:11,59.1,0.0,0.0,56.2,0.0,0.0
2016.12.01 22:13:12,59.2,0.0,0.0,56.3,0.0,0.0
2016.12.01 22:13:13,59.2,0.0,0.0,56.4,0.0,0.0
2016.12.01 22:13:14,59.2,0.0,0.0,56.5,0.0,0.0
2016.12.01 22:13:15,59.2,0.0,0.0,56.6,0.0,0.0
2016.12.01 22:13:16,59.3,0.0,0.0,56.7,0.0,0.0
2016.12.01 22:13:17,59.3,0.0,0.0,56.8,0.0,0.0
2016.12.01 22:13:19,59.3,0.0,0.0,56.9,0.0,0.0
2016.12.01 22:13:20,59.3,0.0,0.0,57.0,0.0,0.0
2016.12.01 22:13:21,59.4,0.0,0.0,57.1,0.0,0.0
2016.12.01 22:13:22,59.4,0.0,0.0,57.1,0.0,0.0
2016.12.01 22:13:23,59.4,0.0,0.0,57.2,0.0,0.0
2016.12.01 22:13:24,59.4,0.0,0.0,57.3,0.0,0.0
2016.12.01 22:13:25,59.5,0.0,0.0,57.4,0.0,0.0
2016.12.01 22:13:26,59.5,0.0,0.0,57.4,0.0,0.0
2016.12.01 22:13:27,59.5,0.0,0.0,57.5,0.0,0.0
2016.12.01 22:13:28,59.5,0.0,0.0,57.6,0.0,0.0
2016.12.01 22:13:29,59.5,0.0,0.0,57.6,0.0,0.0
2016.12.01 22:13:30,59.5,0.0,0.0,57.7,0.0,0.0
2016.12.01 22:13:31,59.6,0.0,0.0,57.8,0.0,0.0
2016.12.01 22:13:32,59.6,0.0,0.0,57.8,0.0,0.0
2016.12.01 22:13:33,59.6,0.0,0.0,57.9,0.0,0.0
2016.12.01 22:13:34,59.6,0.0,0.0,57.9,0.0,0.0
2016.12.01 22:13:35,59.6,0.0,0.0,58.0,0.0,0.0
2016.12.01 22:13:36,59.6,0.0,0.0,58.1,0.0,0.0
2016.12.01 22:13:37,59.6,0.0,0.0,58.1,0.0,0.0
2016.12.01 22:13:38,59.6,0.0,0.0,58.2,0.0,0.0
2016.12.01 22:13:40,59.7,0.0,0.0,58.2,0.0,0.0
2016.12.01 22:13:41,59.7,0.0,0.0,58.3,0.0,0.0
2016.12.01 22:13:42,59.7,0.0,0.0,58.3,0.0,0.0
2016.12.01 22:13:43,59.7,0.0,0.0,58.4,0.0,0.0
