date,Burner,Flow Floor Act,Flow Floor Set,Flow Radiator Act,Flow Radiator Set,Hotwater,Mixer Floor,Mixer Radiator
2016.12.07 20:53:55,41.4,39.7,0.0,0.0,0.0,22.0,95.3,0.0
2016.12.07 20:53:56,41.7,40.1,0.0,0.0,0.0,22.0,88.0,0.0
2016.12.07 20:53:57,41.0,40.2,0.0,0.0,0.0,22.0,80.7,0.0
2016.12.07 20:53:58,40.4,40.1,0.0,0.0,0.0,22.0,74.0,0.0
2016.12.07 20:53:59,39.8,39.9,0.0,0.0,0.0,22.0,67.3,0.0
2016.12.07 20:54:00,39.1,39.5,0.0,0.0,0.0,22.0,60.0,0.0
2016.12.07 20:54:01,38.6,39.1,0.0,0.0,0.0,22.0,53.3,0.0
2016.12.07 20:54:02,38.0,38.5,0.0,0.0,0.0,22.0,46.0,0.0
2016.12.07 20:54:03,39.5,38.1,0.0,0.0,0.0,22.0,38.7,0.0
2016.12.07 20:54:04,40.9,38.0,0.0,0.0,0.0,22.0,31.3,0.0
2016.12.07 20:54:05,42.0,38.2,0.0,0.0,0.0,22.0,24.0,0.0
2016.12.07 20:54:06,41.2,38.2,0.0,0.0,0.0,22.0,16.7,0.0
2016.12.07 20:54:07,40.6,38.0,0.0,0.0,0.0,22.0,10.0,0.0
2016.12.07 20:54:08,40.0,37.7,0.0,0.0,0.0,22.0,3.3,0.0
2016.12.07 20:54:10,39.4,37.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:11,38.7,36.9,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:12,38.2,36.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:13,38.9,36.1,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:14,40.4,36.0,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:15,41.7,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:16,41.6,36.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:17,40.9,36.6,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:18,40.2,36.6,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:19,39.5,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:20,39.0,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:21,38.3,35.9,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:22,38.5,35.6,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:24,40.0,35.6,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:25,41.3,35.8,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:26,41.8,36.1,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:27,41.1,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:28,40.4,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:29,39.8,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:30,39.2,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:31,38.6,36.0,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:32,38.0,35.7,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:33,39.0,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:34,40.4,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:35,41.8,35.8,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:36,41.5,36.1,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:37,40.8,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:38,40.2,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:39,39.5,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:40,38.9,36.0,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:41,38.3,35.8,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:43,38.7,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:44,40.0,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:45,41.3,35.7,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:46,41.8,36.1,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:47,41.1,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:48,40.4,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:49,39.8,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:50,39.2,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:51,38.6,35.9,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:52,38.0,35.7,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:53,39.2,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:54,40.7,35.6,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:55,42.1,35.9,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:56,41.4,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:57,40.8,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:58,40.1,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:54:59,39.5,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:00,38.9,36.1,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:01,38.3,35.8,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:03,38.5,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:04,39.9,35.5,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:05,41.2,35.7,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:06,41.8,36.1,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:07,41.1,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:08,40.4,36.4,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:09,39.8,36.3,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:10,39.2,36.2,0.0,0.0,0.0,22.0,0.0,0.0
2016.12.07 20:55:11,38.6,35.9,0.0,0.0,0.0,22.0,0.0,0.0
