date,actTempBurner,burnerState
2016.11.24 20:33:36,70.96,0
2016.11.24 20:33:57,67.00,1
2016.11.24 20:33:58,67.09,1
2016.11.24 20:33:59,67.30,1
2016.11.24 20:34:00,67.60,1
2016.11.24 20:34:01,68.02,1
2016.11.24 20:34:02,68.53,1
